frame,center,eyes_ratio,MOA
1,361.0,0.753781447754283,0.9647638212377322
2,378.0,0.6589365642846119,0.9384311193315862
3,392.0,0.33668604551456843,0.9953769786994195
4,368.0,0.5066882749395483,0.9781630429410054
5,387.0,0.24878667832827422,0.9094250973934571
6,361.0,0.7976539589442815,0.9665776656854913
7,390.0,0.4363927903826036,0.8841443976296732
8,385.0,0.5314477542830685,0.873953874035906
9,391.0,0.5269588928332561,0.9207593583484897
10,392.0,0.48739946150812025,0.9566738804288584
11,386.0,0.6485311519267376,0.9793050618474793
12,390.0,0.5445284766167618,0.9986760059338775
13,380.0,0.5181612388743119,0.9656157585206697
14,385.0,0.5050547924062355,0.9733905664005356
15,385.0,0.35872305396923393,0.9173950275489476
16,382.0,0.6735950335271218,0.8834925432084727
17,372.0,0.3746462931522354,0.8634268251293453
18,385.0,0.33665174666872455,0.9442993092876062
19,388.0,0.6046114798237039,0.9486832980505138
20,378.0,0.5006945516283376,0.9378069095694309
21,386.0,0.5227701462845775,0.9338946689641789
22,389.0,0.4817744507897309,0.9317525636248142
23,387.0,0.7057416267942584,0.9609069544270729
24,384.0,0.5255226286635455,0.9756684143216708
25,385.0,0.4991296667867126,0.9739303755219115
26,390.0,0.6984874208982867,0.9506201712896194
27,378.0,0.4551714084821046,0.9798977957603517
28,387.0,0.7395045531717859,0.9193138645764314
29,382.0,0.4551714084821046,0.897012109745223
30,387.0,0.6502032206616247,0.9593655015712704
31,382.0,0.480068083209,0.9334814647227591
32,381.0,0.48312496784483205,0.9205817818752565
33,382.0,0.8519576066265371,0.9879857111429783
34,386.0,0.5386290751316218,0.9765237734639309
35,386.0,0.5459904649208555,0.989574403741127
36,384.0,0.4230076657920461,0.9513190119591559
37,383.0,0.7026804548026959,0.9977391729102632
38,383.0,0.8665774896674727,0.9785982765655016
39,388.0,0.8654970760233918,0.957313866483442
40,386.0,0.5957795270189158,0.985332711673461
41,387.0,0.6502032206616247,0.9377487607237037
42,387.0,0.5723834267976883,0.9843333575918393
43,387.0,0.45669770712215535,0.980166504008849
44,379.0,0.828450035156317,0.9943266365071329
45,388.0,0.4640290854212756,0.9464003857342045
46,387.0,0.4362298708648454,0.9500317490404901
47,384.0,0.5957795270189158,0.9525381006409209
48,378.0,0.6850208365488502,0.9451547836435008
49,378.0,0.7363404846426918,0.8947812790239512
50,383.0,0.5533818662002024,0.9210028535458513
51,383.0,0.5007459998971034,0.8985264927076158
52,378.0,0.6762617687914803,0.9967290481146759
53,382.0,0.6367880845809539,0.9609069544270731
54,385.0,0.5533818662002024,0.9701425001453318
55,384.0,0.6499631287407179,0.973417168333576
56,380.0,0.7699319167909999,0.9393303328873253
57,384.0,0.4040232546174821,0.9533621929494174
58,379.0,0.5445542007511448,0.9614286659239042
59,387.0,0.6821268714307764,0.9754756603549092
60,388.0,0.651395105554698,0.852986801159592
